Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Gun Sense Candidate?,Biden Endorsed?,Warren Endorsed?,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners,Total Endorsements,Endorsed,receipts,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Female,SinglePayer
Jimmy Darnell Jones,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,0,None,None,-16.33,22.08,0,1,0,0,0,0,No,,,,,,,0.0,1.0,,,,,,5,1.0,1,19035.37,1,J.D.,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Silky Malik,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,0,None,None,-16.33,9.6999998,0,1,0,0,0,0,No,,,,,,,0.0,0.0,,,,,,5,0.0,0,19431.18,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,1
Todd Litton,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,1,None,On the Ballot,-16.33,52.810001,1,0,0,0,0,0,No,,,,,,,0.0,0.0,,,,,,5,0.0,0,1536148.54,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Derrick Crowe,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,0,None,None,-15.51,23.049999,0,0,0,0,0,0,No,,,,,,,1.0,1.0,,,,0.0,,4,2.0,1,179456.03,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Elliott McFadden,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,0,None,None,-15.51,17.02,0,0,0,0,0,0,No,,,,,,,0.0,0.0,,,,0.0,,4,0.0,0,114019.7,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Joseph Kopser,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,1,Advanced,On the Ballot,-15.51,29.030001,1,0,0,0,0,1,No,,,1.0,,,,0.0,0.0,,,,1.0,,4,2.0,1,3251481.82,1,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Progressive Democrat,0.0,1
Mary Wilson,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,1,Lost,None,-15.51,30.9,0,0,1,0,0,1,No,,,1.0,,,,0.0,1.0,,,,0.0,,4,2.0,1,112239.74,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Letitia Plummer,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,1,Lost,None,-14.81,24.290001,0,1,0,0,0,1,No,,,0.0,,,,0.0,1.0,,,,,,5,1.0,1,131621.92,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Margarita Ruiz Johnson,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,0,None,None,-14.81,12.64,0,1,0,0,0,0,No,,,,,,,0.0,0.0,,,,,,5,0.0,0,18523.0,1,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate provides no information,0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Moderate Democrat,1.0,0
Mark Gibson,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,0,None,None,-14.81,10.24,0,1,0,0,0,0,No,,,,,,,0.0,0.0,,,,,,5,0.0,0,19877.79,1,J.D.,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Sri Preston Kulkarni,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,1,Advanced,On the Ballot,-14.81,31.85,1,1,0,0,0,0,No,,,1.0,,,,0.0,0.0,,,,,,5,1.0,1,1637103.82,0,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports status quo efforts to combat terrorism,Candidate notes Russia as political enemy of the United States,Progressive Democrat,0.0,1
Steve Brown,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,0,None,None,-14.81,20.98,0,1,0,0,0,0,No,,,,,,,1.0,0.0,,,,,,5,1.0,1,55029.07,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Angela Villescaz,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,0,None,None,-0.63,9.0900002,0,1,0,0,0,0,No,,0.0,,,,,0.0,0.0,,,,0.0,,5,0.0,0,2535.0,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,1.0,0
Gina Ortiz Jones,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,1,Advanced,On the Ballot,-0.63,41.560001,1,1,1,0,0,0,No,1.0,1.0,1.0,,,,0.0,0.0,,,,1.0,,5,4.0,1,6195216.24,1,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
Jay Hulings,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,0,None,None,-0.63,14.98,0,1,0,0,0,0,Yes,,0.0,,,,,0.0,0.0,,,,0.0,,5,0.0,0,617990.01,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Moderate Democrat,0.0,1
Judy Canales,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,0,None,None,-0.63,16.99,0,1,0,0,0,0,Yes,,0.0,,,,,0.0,0.0,,,,0.0,,5,0.0,0,39055.05,0,Bachelor's or some college,Married,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Rick Trevi̱o,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,1,Lost,None,-0.63,17.379999,0,1,0,0,0,0,No,0.0,0.0,,,,,1.0,1.0,,,,0.0,,5,2.0,1,56021.38,0,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Jan McDowell,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,1,None,On the Ballot,-12.78,52.470001,1,0,0,0,0,0,No,,,1.0,,,,,,,,,,,4,1.0,1,108709.32,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,1
John Biggan,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,0,None,None,-12.78,21.52,0,0,0,0,0,1,No,,,,,,,,,,,,,,4,0.0,0,86564.64,0,Other Graduate,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides complicated/complex/unclear position,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Josh Imhoff,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,0,None,None,-12.78,6.02,0,0,0,0,0,0,No,,,,,,,,,,,,,,4,0.0,0,0.0,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Todd Allen,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,0,None,None,-12.78,20.0,0,0,0,0,0,0,No,,,,,,,,,,,,,,4,0.0,0,13344.39,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Chetan Panda,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,0,None,None,-19.23,9.04,0,1,0,0,0,0,No,,,,,,,0.0,,,0.0,,,,5,0.0,0,116152.57,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Chris Perri,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,1,Lost,None,-19.23,32.790001,0,0,0,0,0,0,No,,,1.0,,,,1.0,,,1.0,,,,5,3.0,1,238362.99,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Julie Oliver,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,1,Advanced,On the Ballot,-19.23,26.440001,1,0,0,0,0,0,No,,,1.0,,,,0.0,,,0.0,,,,5,1.0,1,645926.18,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Progressive Democrat,1.0,1
Kathi Thomas,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,0,None,None,-19.23,21.16,0,0,0,0,0,0,No,,,,,,,0.0,,,0.0,,,,5,0.0,0,40355.2,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,1.0,1
West Hansen,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,0,None,None,-19.23,10.57,0,0,0,0,0,0,No,,,,,,,0.0,,,0.0,,,,5,0.0,0,0.0,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Linsey Fagan,TX,U.S. House Texas District 26,Representative,Regular,3/6/18,1,None,On the Ballot,-31.629999,52.66,1,0,0,0,0,0,No,,,,,,,1.0,1.0,,,,,,2,2.0,1,176157.24,0,Other,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,1.0,1
Will Fisher,TX,U.S. House Texas District 26,Representative,Regular,3/6/18,0,None,None,-31.629999,47.34,0,0,0,0,0,0,No,,,,,,,0.0,0.0,,,,,,2,0.0,0,95128.16,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Eric Holguin,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,1,Advanced,On the Ballot,-25.809999,23.299999,1,1,1,0,0,0,No,,,,,,,1.0,,,,,,,4,1.0,1,202465.79,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Raul (Roy) Barrera,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,1,Lost,None,-25.809999,41.23,0,1,0,0,0,0,No,,,,,,,0.0,,,,,,,4,0.0,0,12296.18,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Ronnie McDonald,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,0,None,None,-25.809999,16.389999,0,1,0,0,0,0,No,,,,,,,,,,,,,,4,0.0,0,16283.93,0,Bachelor's or some college,Married,1,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Vanessa Edwards Foster,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,0,None,None,-25.809999,19.08,0,0,1,0,0,0,No,,,,,,,,,,,,,,4,0.0,0,0.0,0,Other,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports protecting the status quo Social Security system,Candidate opposes gun control of all kinds (including background checks),Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
Augustine Reyes,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,0,None,None,39.970001,2.8299999,0,1,0,0,0,0,No,,0.0,,,,,0.0,,,,,,,7,0.0,0,23552.73,1,Associate's or less,Married,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Dominique Garcia,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,0,None,None,39.970001,2.5799999,0,1,0,0,0,0,No,,0.0,,,,,0.0,0.0,,,,,,7,0.0,0,0.0,0,Other,Married,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Hector Morales,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,0,None,None,39.970001,3.04,0,1,0,0,0,0,No,,0.0,,,,,1.0,1.0,,,,,,7,2.0,1,11178.04,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
