"","Candidate.First.Name","Candidate.Last.Name","Candidate.State","Candidate.District","Candidate.Party","Incumbent","Freshman.Member","Candidate.Website.URL","Candidate.Gender","Listed.military.service.","Education","Marital.Status","Previous.Electoral.Experience","Position.on.Affordable.Care.Act..ObamaCare.","Position.on.Minimum.Wage","Position.on.Federal.Taxes","Position.on.Business.Regulations","Position.on.National.Debt.Deficit","Position.on.Social.Security","Position.on.Gun.Control","Position.on.Immigration","Position.on.Abortion","Position.on.Same.Sex.Marriage","Position.on.Criminal.Justice.Reform","Position.on.Federal.K.12.Education.Policy","Position.on.Climate.Change","Position.on.Campaign.Finance.Reform","Position.on.Legalization.Decriminalization.of.Marijuana.Policy","Position.on.Defense.Spending","Position.on.Handling.Terrorism.Abroad","Position.on.Russia","Party.Category","Party.Category.1","Incumbency","Female","Democrat","Republican","Trump.Mention","Obama.Mention","Sanders.Mention","Clinton.Mention","Special.Counsel.Mention","Travel.Ban.Mention","SinglePayer","Primary.Outcome","Primary.Runoff.Outcome"
"1894","MADELINE","EDEN","TX",10,"Democrat","","","http://www.edenforcongress.com/","Female","No, the candidate does not include any information about serving in the military","Some College","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate supports placing smart regulations on business","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"1895","RICHIE","DEGROW","TX",10,"Democrat","","","https://decongress.com/","Male","No, the candidate does not include any information about serving in the military","High School","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports marriage equality measures","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"1896","MIKE","SIEGEL","TX",10,"Democrat","","","https://siegelfortexas.org/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Runoff","Winner"
"1897","TAWANA","WALTER-CADIEN","TX",10,"Democrat","","","https://www.tawanacadienforcongress.com/","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Runoff","Loser"
"1898","JOHN","COOK","TX",10,"Republican","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1899","MICHAEL","MCCAUL","TX",10,"Republican","Candidate is an incumbent Member of Congress","","https://www.michaelmccaul.com/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes climate change regulations OR denies the effects of climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports calls for increased American intervention to combat terrorism","Candidate notes Russia as political enemy of the United States","","Business/Establishment Republican",1,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NEGATIVE MENTION","NEUTRAL MENTION","NEUTRAL MENTION","","Winner",""
"1900","ERIC","PFALZGRAF","TX",11,"Democrat","","","https://www.facebook.com/PfriendsofPfalzgraf/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate explicitly supports ACA","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports major criminal justice reform","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1901","JENNIE","LEEDER","TX",11,"Democrat","","","http://jennielouleeder.com/","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports gun control measures","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1902","PAUL","MYERS","TX",11,"Republican","","","https://myersforcongress2018.com/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","Married","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Tea Party Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1903","MIKE","CONAWAY","TX",11,"Republican","Candidate is an incumbent Member of Congress","","https://www.mikeconaway.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","Candidate mentions previous elected office experience","Candidate provides no information","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","","Conservative Republican",1,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1904","VANESSA","ADIA","TX",12,"Democrat","","","https://www.vanessaadia.com/","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate supports major criminal justice reform","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
"1905","KAY","GRANGER","TX",12,"Republican","Candidate is an incumbent Member of Congress","","http://kaygranger.com/","Female","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","Candidate mentions previous elected office experience","Candidate provides no information","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","","Business/Establishment Republican",1,1,0,1,"NO MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1906","GREG","SAGAN","TX",13,"Democrat","","","https://gregsagan2018.org/","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","Married","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","COMPLICATED","NO MENTION","NO MENTION","","Winner",""
"1907","MAC","THORNBERRY","TX",13,"Republican","Candidate is an incumbent Member of Congress","","http://www.macthornberry.com/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides complicated/complex/unclear position","Candidate opposes gun control of all kinds (including background checks)","Candidate provides no information","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate opposes climate change regulations OR denies the effects of climate change","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",1,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1908","LEVY","BARNES","TX",14,"Democrat","","","http://www.drlevy.info/","Male","No, the candidate does not include any information about serving in the military","Ph.D.","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1909","ADRIENNE","BELL","TX",14,"Democrat","","","https://bell2018.com/","Female","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate supports major criminal justice reform","Candidate provides no information","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
"1910","BILL","SARGENT","TX",14,"Republican","","","http://www.sarges.com/","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","No information","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate opposes raising the minimum wage","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"NEUTRAL MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1911","KEITH","CASEY","TX",14,"Republican","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1912","RANDY","WEBER","TX",14,"Republican","Candidate is an incumbent Member of Congress","","http://www.randyweber.org/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",1,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1913","VICENTE","GONZALEZ","TX",15,"Democrat","Candidate is an incumbent Member of Congress","Candidate is a freshman incumbent Member of Congress","http://www.vicentegonzalez.com/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate explicitly supports ACA","Candidate provides no information","Candidate provides no information","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","Moderate Democrat","",1,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1914","TIM","WESTLEY","TX",15,"Republican","","","http://www.timwestley.com/","Male","Yes, the candidate serves or served in the military","Ph.D.","Married","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1915","JOHN","CARRILLO","TX",16,"Democrat","","","http://www.carrilloforcongress.com/","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,1,1,0,"NEGATIVE MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1916","JEROME","TILGHMAN","TX",16,"Democrat","","","http://www.votefortilghman.com/","Male","Yes, the candidate serves or served in the military","Bachelor's Degree","No information","","Candidate provides no information","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate supports major criminal justice reform","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1917","ENRIQUE","GARCIA","TX",16,"Democrat","","","https://egarcia4congress.com/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NEGATIVE MENTION","","Loser",""
"1918","NORMA","CHAVEZ","TX",16,"Democrat","","","https://normaforcongresswoman.com/","Female","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","Candidate mentions previous elected office experience","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1919","DORI","FENENBOCK","TX",16,"Democrat","","","https://www.votedori.com/","Female","No, the candidate does not include any information about serving in the military","J.D.","No information","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate supports status quo efforts to combat terrorism","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1920","VERONICA","ESCOBAR","TX",16,"Democrat","","","http://www.veronicaescobar.com/","Female","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
"1921","ALIA","GARCIA-URESTE","TX",16,"Republican","","","http://garciauresteforuscongress.com/","Female","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,1,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1922","RICK","SEEBERGER","TX",16,"Republican","","","https://www.seebergerforcongress.com/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate provides no information","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1923","DALE","MANTEY","TX",17,"Democrat","","","https://www.dalefortexas.com/","Male","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"1924","RICK","KENNEDY","TX",17,"Democrat","","","https://www.rickkennedyforcongress.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
"1925","BILL","FLORES","TX",17,"Republican","Candidate is an incumbent Member of Congress","","http://www.billflores.com/","Male","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate supports the ""traditional family""","Candidate provides no information","Candidate provides no information","Candidate opposes climate change regulations OR denies the effects of climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports calls for increased American intervention to combat terrorism","Candidate provides no information","","Conservative Republican",1,0,0,1,"NO MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"1926","RICHARD","JOHNSON","TX",18,"Democrat","","","https://drrichardjohnson.org/","Male","Yes, the candidate serves or served in the military","Ph.D.","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides no information","Candidate provides no information","Candidate supports major criminal justice reform","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"1927","SHEILA","LEE","TX",18,"Democrat","Candidate is an incumbent Member of Congress","","http://www.sheilajacksonlee18.com/","Female","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate explicitly supports ACA","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports status quo efforts to combat terrorism","Candidate notes Russia as political enemy of the United States","Progressive Democrat","",1,1,1,0,"NEGATIVE MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","POSITIVE MENTION","NEGATIVE MENTION","","Winner",""
